0, 0.753489, 2.446997, -0.650443, -1.745600, 0.241307, 1.575857, -1.109027, -0.001245, -0.001526, -0.001489, -0.000146, -0.001100, 0.001926, -0.000120, 
1, 0.753489, 2.446750, -0.650338, -1.745600, 0.241307, 1.575857, -1.109027, -0.001436, -0.003859, -0.001410, 0.000167, -0.001023, 0.001791, -0.000841, 
2, 0.753490, 2.446520, -0.650241, -1.745601, 0.241306, 1.575857, -1.109027, -0.001950, -0.003820, -0.002474, -0.000932, -0.002443, 0.001649, 0.000000, 
3, 0.753490, 2.446303, -0.650149, -1.745605, 0.241306, 1.575856, -1.109021, -0.002033, -0.006881, -0.007087, -0.001237, -0.002272, 0.001533, 0.023558, 
4, 0.753490, 2.446103, -0.650061, -1.745609, 0.241306, 1.575856, -1.109027, -0.002328, -0.005020, -0.001315, -0.001066, -0.002112, 0.001426, -0.000120, 
5, 0.753490, 2.445915, -0.649980, -1.745612, 0.241306, 1.575856, -1.109027, -0.003497, -0.006961, 0.001238, -0.000663, -0.001964, 0.001317, -0.000361, 
6, 0.753490, 2.445742, -0.649905, -1.745616, 0.241306, 1.575856, -1.109027, -0.003883, -0.004720, 0.001151, -0.000498, -0.001826, 0.001225, 0.000000, 
7, 0.753490, 2.445580, -0.649836, -1.745619, 0.241307, 1.575856, -1.109027, -0.003847, -0.003302, 0.003986, 0.000320, -0.001698, 0.000912, 0.000000, 
8, 0.753491, 2.445431, -0.649771, -1.745622, 0.241307, 1.575855, -1.109027, -0.001985, -0.001039, 0.004044, 0.000736, -0.001579, 0.000831, 0.000000, 
9, 0.753491, 2.445291, -0.649710, -1.745625, 0.241307, 1.575855, -1.109027, -0.002157, 0.000121, 0.006044, -0.000588, -0.001469, 0.000773, 0.000000, 
10, 0.753491, 2.445160, -0.649653, -1.745627, 0.241307, 1.575855, -1.109027, -0.002107, -0.002863, 0.006825, -0.001524, -0.001366, 0.000718, -0.002764, 
